Memsize: 4096, Stride: 4 bytes, time: 18.000000 
Memsize: 16777216, Stride: 1048576 bytes, time: 38.000000 
Memsize: 33554432, Stride: 1048576 bytes, time: 213.000000 
Memsize: 67108864, Stride: 1048576 bytes, time: 204.000000 
Memsize: 134217728, Stride: 1048576 bytes, time: 209.000000 
Memsize: 268435456, Stride: 1048576 bytes, time: 218.000000 
Memsize: 536870912, Stride: 1048576 bytes, time: 227.000000 
Memsize: 4096, Stride: 2097152 bytes, time: 18.000000 
Memsize: 8192, Stride: 2097152 bytes, time: 18.000000 
Memsize: 16384, Stride: 2097152 bytes, time: 18.000000 
Memsize: 32768, Stride: 2097152 bytes, time: 18.000000 
Memsize: 65536, Stride: 2097152 bytes, time: 18.000000 
Memsize: 131072, Stride: 2097152 bytes, time: 18.000000 
Memsize: 262144, Stride: 2097152 bytes, time: 18.000000 
Memsize: 524288, Stride: 2097152 bytes, time: 18.000000 
Memsize: 1048576, Stride: 2097152 bytes, time: 18.000000 
Memsize: 2097152, Stride: 2097152 bytes, time: 18.000000 
Memsize: 4194304, Stride: 2097152 bytes, time: 18.000000 
Memsize: 8388608, Stride: 2097152 bytes, time: 18.000000 
Memsize: 16777216, Stride: 2097152 bytes, time: 18.000000 
Memsize: 33554432, Stride: 2097152 bytes, time: 49.000000 
Memsize: 67108864, Stride: 2097152 bytes, time: 188.000000 
Memsize: 134217728, Stride: 2097152 bytes, time: 208.000000 
Memsize: 268435456, Stride: 2097152 bytes, time: 226.000000 
Memsize: 536870912, Stride: 2097152 bytes, time: 214.000000 
Memsize: 4096, Stride: 4194304 bytes, time: 18.000000 
Memsize: 8192, Stride: 4194304 bytes, time: 18.000000 
Memsize: 16384, Stride: 4194304 bytes, time: 18.000000 
Memsize: 32768, Stride: 4194304 bytes, time: 18.000000 
Memsize: 65536, Stride: 4194304 bytes, time: 18.000000 
Memsize: 131072, Stride: 4194304 bytes, time: 18.000000 
Memsize: 262144, Stride: 4194304 bytes, time: 18.000000 
Memsize: 524288, Stride: 4194304 bytes, time: 18.000000 
Memsize: 1048576, Stride: 4194304 bytes, time: 18.000000 
Memsize: 2097152, Stride: 4194304 bytes, time: 18.000000 
Memsize: 4194304, Stride: 4194304 bytes, time: 18.000000 
Memsize: 8388608, Stride: 4194304 bytes, time: 18.000000 
Memsize: 16777216, Stride: 4194304 bytes, time: 18.000000 
Memsize: 33554432, Stride: 4194304 bytes, time: 18.000000 
Memsize: 67108864, Stride: 4194304 bytes, time: 49.000000 
Memsize: 134217728, Stride: 4194304 bytes, time: 206.000000 
Memsize: 268435456, Stride: 4194304 bytes, time: 230.000000 
Memsize: 536870912, Stride: 4194304 bytes, time: 235.000000 
